"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2019","57,300,000","57,489,000","57,594,000","57,257,000","0.10K","-0.33%"
"Mar 23, 2019","57,489,000","57,779,000","58,000,000","57,354,000","0.14K","-0.50%"
"Mar 22, 2019","57,779,000","57,398,000","57,975,000","57,208,000","0.26K","0.66%"
"Mar 21, 2019","57,398,000","57,957,000","58,165,000","57,123,000","0.28K","-0.96%"
"Mar 20, 2019","57,957,000","57,714,000","58,025,000","57,200,000","0.31K","0.42%"
"Mar 19, 2019","57,714,000","57,437,000","57,779,000","57,111,000","0.31K","0.52%"
"Mar 18, 2019","57,418,000","56,977,000","57,881,000","56,805,000","0.38K","0.77%"
"Mar 17, 2019","56,977,000","57,166,000","57,238,000","56,536,000","0.12K","-0.33%"
"Mar 16, 2019","57,165,000","56,253,000","58,064,000","56,253,000","0.22K","1.62%"
"Mar 15, 2019","56,253,000","55,935,000","56,437,000","55,790,000","0.26K","0.63%"
"Mar 14, 2019","55,899,000","55,625,000","56,264,000","55,535,000","0.32K","0.49%"
"Mar 13, 2019","55,625,000","55,808,000","56,000,000","55,398,000","0.24K","-0.33%"
"Mar 12, 2019","55,809,000","55,932,000","56,095,000","55,100,000","0.29K","-0.22%"
"Mar 11, 2019","55,932,000","56,548,000","56,698,000","55,602,000","0.33K","-1.09%"
"Mar 10, 2019","56,548,000","56,171,000","56,618,000","55,824,000","0.18K","0.70%"
"Mar 09, 2019","56,153,000","55,199,000","56,456,000","55,117,000","0.20K","1.73%"
"Mar 08, 2019","55,199,000","55,128,000","55,894,000","55,001,000","0.36K","0.13%"
"Mar 07, 2019","55,127,000","55,002,000","55,400,000","54,903,000","0.27K","0.32%"
"Mar 06, 2019","54,952,000","55,197,000","55,499,000","54,557,000","0.26K","-0.43%"
"Mar 05, 2019","55,190,000","53,466,000","55,449,000","53,300,000","0.38K","3.22%"
"Mar 04, 2019","53,466,000","54,168,000","54,624,000","53,000,000","0.50K","-1.29%"
"Mar 03, 2019","54,167,000","54,792,000","54,830,000","54,005,000","0.20K","-1.14%"
"Mar 02, 2019","54,791,000","54,755,000","54,880,000","54,202,000","0.31K","0.06%"
"Mar 01, 2019","54,756,000","54,558,000","55,156,000","54,455,000","0.34K","0.36%"
"Feb 28, 2019","54,558,000","54,593,000","55,700,000","54,451,000","0.39K","-0.06%"
"Feb 27, 2019","54,593,000","54,671,000","55,058,000","53,159,000","0.49K","-0.14%"
"Feb 26, 2019","54,670,000","54,781,000","58,500,000","54,018,000","0.54K","-0.20%"
"Feb 25, 2019","54,780,000","53,662,000","55,949,000","53,521,000","0.49K","2.08%"
"Feb 24, 2019","53,663,000","58,501,000","59,433,000","53,152,000","0.52K","-8.27%"
"Feb 23, 2019","58,502,000","55,992,000","58,823,000","55,751,000","0.32K","4.48%"
"Feb 22, 2019","55,992,000","54,749,000","56,000,000","54,657,000","0.29K","2.36%"
"Feb 21, 2019","54,699,000","54,550,000","55,129,000","54,200,000","0.26K","0.27%"
"Feb 20, 2019","54,550,000","53,701,000","54,700,000","53,108,000","0.36K","1.58%"
"Feb 19, 2019","53,699,000","54,091,000","54,800,000","53,431,000","0.45K","-0.72%"
"Feb 18, 2019","54,091,000","51,532,000","54,999,000","51,501,000","0.62K","4.97%"
"Feb 17, 2019","51,532,000","50,750,000","51,850,000","50,750,000","0.24K","1.44%"
"Feb 16, 2019","50,800,000","50,746,000","51,172,000","50,700,000","0.16K","0.12%"
"Feb 15, 2019","50,741,000","50,623,000","51,644,000","50,524,000","0.45K","0.23%"
"Feb 14, 2019","50,623,000","51,086,000","51,203,000","50,433,000","0.38K","-0.60%"
"Feb 13, 2019","50,929,000","50,374,000","51,398,000","50,300,000","0.31K","1.10%"
"Feb 12, 2019","50,374,000","50,552,000","50,872,000","50,019,000","0.39K","-0.35%"
"Feb 11, 2019","50,552,000","50,100,000","52,430,000","49,590,000","0.30K","1.06%"
"Feb 10, 2019","50,022,000","49,710,000","50,200,000","49,061,000","0.26K","0.63%"
"Feb 09, 2019","49,710,000","50,501,000","50,799,000","49,567,000","0.20K","-1.47%"
"Feb 08, 2019","50,454,000","48,059,000","51,000,000","47,690,000","0.50K","4.98%"
"Feb 07, 2019","48,059,000","48,209,000","48,696,000","48,005,000","0.34K","-0.31%"
"Feb 06, 2019","48,209,000","48,922,000","49,000,000","48,045,000","0.47K","-1.35%"
"Feb 05, 2019","48,869,000","48,749,000","49,204,000","48,700,000","0.28K","0.25%"
"Feb 04, 2019","48,749,000","48,801,000","49,078,000","48,500,000","0.26K","-0.11%"
"Feb 03, 2019","48,801,000","49,414,000","49,520,000","48,505,000","0.18K","-1.24%"
"Feb 02, 2019","49,414,000","49,007,000","49,416,000","48,656,000","0.20K","0.83%"
"Feb 01, 2019","49,007,000","48,580,000","49,109,000","48,092,000","0.29K","0.87%"
"Jan 31, 2019","48,582,000","48,851,000","49,318,000","48,146,000","0.35K","-0.55%"
"Jan 30, 2019","48,851,000","48,378,000","49,246,000","48,005,000","0.47K","0.98%"
"Jan 29, 2019","48,378,000","48,730,000","48,900,000","47,508,000","0.39K","-0.53%"
"Jan 28, 2019","48,634,000","50,401,000","50,448,000","48,251,000","0.62K","-3.60%"
"Jan 27, 2019","50,448,000","50,550,000","50,844,000","50,050,000","0.22K","-0.20%"
"Jan 26, 2019","50,550,000","50,507,000","51,300,000","50,418,000","0.18K","0.09%"
